ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label
65,96,0,0,0,0,0,0,0,0
1068,132,13,160,0,0,0,0,0,0
535,127,255,127,255,127,255,127,255,0
131,15,224,0,0,0,0,0,0,0
936,1,0,39,16,0,0,0,0,0
359,0,128,0,0,0,1,227,0,0
369,16,108,0,0,0,0,0,0,0
516,192,0,125,0,0,0,0,0,0
609,0,0,9,0,0,0,0,0,0
1071,125,4,0,2,113,0,0,0,0
1085,20,0,0,0,0,0,0,0,0
1086,0,55,16,0,0,0,0,0,0
118,62,128,66,128,15,255,0,0,0
119,255,255,15,255,127,255,255,255,0
125,0,0,247,128,0,63,255,255,0
531,255,255,8,127,47,7,255,80,0
532,0,0,0,0,0,0,247,128,0
534,0,0,0,0,195,0,0,0,0
1045,0,0,52,242,15,255,15,255,0
1200,255,0,128,0,128,0,40,242,0
71,100,44,169,92,86,74,0,0,0
357,16,65,0,0,0,0,0,0,0
512,0,0,130,79,130,79,240,0,0
514,28,253,0,0,64,0,0,0,0
560,0,30,0,0,19,0,0,0,0
1109,0,0,0,0,0,0,0,0,0
578,255,255,32,0,214,0,0,1,0
125,0,0,246,144,0,63,255,255,0
532,0,0,0,0,0,0,246,144,0
1045,0,0,56,241,15,255,15,255,0
1200,255,0,128,0,144,0,40,241,0
514,28,251,16,0,64,0,0,0,0
1438,158,0,255,255,255,255,255,255,0
806,1,160,3,255,1,208,0,200,0
950,8,0,4,0,0,0,0,0,0
951,0,0,3,0,0,0,0,0,0
125,0,0,245,160,0,63,255,255,0
532,0,0,0,0,0,0,245,160,0
1045,0,0,60,240,15,255,15,255,0
1200,255,0,128,0,160,0,40,240,0
342,186,0,0,0,0,0,0,0,0
358,122,32,0,0,0,106,0,0,0
376,0,0,2,0,2,84,194,84,0
377,1,227,8,0,146,4,0,0,0
514,28,249,32,0,64,0,0,0,0
610,0,0,0,0,0,0,0,0,0
1057,6,0,21,0,0,0,0,0,0
1069,0,3,255,0,0,0,240,0,0
125,0,0,244,176,0,63,255,255,0
532,0,0,0,0,0,0,244,176,0
1045,0,0,0,255,15,255,15,255,0
1200,255,0,128,0,176,0,40,239,0
514,28,247,48,0,64,0,0,0,0
1072,131,0,7,52,100,1,18,147,0
1076,36,0,20,0,15,255,2,96,0
1077,40,32,8,28,0,32,41,0,0
125,0,0,243,192,0,63,255,255,0
532,0,0,0,0,0,0,243,192,0
1045,0,0,4,254,15,255,15,255,0
1046,64,96,254,8,1,10,128,0,0
1200,255,0,128,0,192,0,40,238,0
514,28,245,64,0,64,0,0,0,0
1034,193,0,255,255,255,255,255,255,0
125,0,0,242,208,0,63,255,255,0
532,0,0,0,0,0,0,242,208,0
1045,0,0,8,253,15,255,15,255,0
1200,255,0,128,0,208,0,40,237,0
514,28,243,80,0,64,0,0,0,0
1409,129,0,255,255,255,255,255,255,0
938,0,34,32,0,0,0,0,0,0
939,18,0,0,0,64,0,0,0,0
125,0,0,241,224,0,63,255,255,0
532,0,0,0,0,0,0,241,224,0
1045,0,0,12,252,15,255,15,255,0
1200,255,0,128,0,224,0,40,236,0
514,28,241,96,0,64,0,0,0,0
125,0,0,240,240,0,63,255,255,0
532,0,0,0,0,0,0,240,240,0
1045,0,0,16,251,15,255,15,255,0
1200,255,0,128,0,240,0,40,235,0
514,28,239,112,0,64,0,0,0,0
125,0,0,255,0,0,63,255,255,0
532,0,0,0,0,0,0,255,0,0
1045,0,0,20,250,15,255,15,255,0
1200,255,0,128,0,0,0,40,250,0
1072,131,0,7,52,100,5,18,147,0
1077,40,32,5,20,0,32,41,0,0
125,0,0,254,16,0,63,255,255,0
532,0,0,0,0,0,0,254,16,0
1045,0,0,24,249,15,255,15,255,0
1046,65,96,253,8,1,10,128,0,0
1200,255,0,128,0,16,0,40,249,0
125,0,0,253,32,0,63,255,255,0
532,0,0,0,0,0,0,253,32,0
1045,0,0,28,248,15,255,15,255,0
1200,255,0,128,0,32,0,40,248,0
132,0,0,0,76,15,52,12,0,0
125,0,0,252,48,0,63,255,255,0
532,0,0,0,0,0,0,252,48,0
1045,0,0,32,247,15,255,15,255,0
1200,255,0,128,0,48,0,40,247,0
125,0,0,251,64,0,63,255,255,0
532,0,0,0,0,0,0,251,64,0
862,0,192,0,20,160,104,0,0,0
1045,0,0,36,246,15,255,15,255,0
1200,255,0,128,0,64,0,40,246,0
125,0,0,250,80,0,63,255,255,0
532,0,0,0,0,0,0,250,80,0
1045,0,0,40,245,15,255,15,255,0
1200,255,0,128,0,80,0,40,245,0
1072,135,0,7,52,100,1,22,147,0
125,0,0,249,96,0,63,255,255,0
532,0,0,0,0,0,0,249,96,0
1045,0,0,44,244,15,255,15,255,0
1046,66,96,252,8,1,10,128,0,0
1200,255,0,128,0,96,0,40,244,0
909,32,0,0,0,0,0,0,0,0
950,8,0,5,0,0,0,0,0,0
951,0,0,0,0,0,0,0,0,0
952,255,255,255,255,0,0,0,0,0
995,0,0,4,19,128,0,0,0,0
1003,0,4,20,0,0,16,0,0,0
1034,193,1,255,255,255,255,255,255,0
1084,50,0,0,44,0,153,136,20,0
1095,33,0,0,75,0,0,0,0,0
125,0,0,248,112,0,63,255,255,0
532,0,0,0,0,0,0,248,112,0
1045,0,0,48,243,15,255,15,255,0
1200,255,0,128,0,112,0,40,243,0
948,20,17,17,255,255,255,0,0,0
949,255,253,255,253,255,253,255,253,0
817,192,0,228,137,10,0,0,2,0
1077,40,32,0,20,0,32,41,0,0
967,0,0,0,0,0,0,0,0,0
1046,67,96,251,8,1,10,128,0,0
947,65,136,0,18,230,0,3,50,0
963,64,0,16,193,0,0,129,0,0
1046,68,96,250,8,1,10,128,0,0
1034,193,2,255,255,255,255,255,255,0
986,0,0,0,0,0,0,0,0,0
994,0,0,0,0,128,0,0,0,0
1002,0,0,0,0,0,0,96,0,0
950,8,0,6,0,0,0,0,0,0
951,0,0,1,0,0,0,0,0,0
1076,36,0,20,0,15,255,2,100,0
1077,124,112,0,84,0,36,41,0,0
1046,69,96,249,8,1,10,128,0,0
968,0,0,0,0,0,0,0,0,0
992,0,0,0,0,128,0,0,0,0
1125,255,252,255,252,255,254,255,252,0
1126,0,76,236,248,96,32,32,0,0
1127,0,255,224,255,254,254,240,240,0
1046,70,96,248,8,1,10,128,0,0
1034,193,4,255,255,255,255,255,255,0
1046,71,96,247,8,1,10,128,0,0
950,8,0,7,0,0,0,0,0,0
951,0,0,2,0,0,0,0,0,0
1046,72,96,246,8,1,10,128,0,0
1034,193,16,255,255,255,255,255,0,0
942,0,0,0,0,0,0,0,0,0
753,0,0,81,16,0,254,1,0,0
902,0,0,0,0,0,0,0,0,0
1081,0,0,0,0,0,0,0,0,0
1046,73,96,245,8,1,10,128,0,0
950,8,0,8,0,0,0,0,0,0
1046,74,96,244,8,1,10,128,0,0
1034,192,0,0,5,13,254,242,0,0
1046,75,96,243,8,1,10,128,0,0
132,0,0,0,76,15,53,12,0,0
512,0,0,130,80,130,80,240,0,0
1046,76,96,242,8,1,10,128,0,0
950,8,0,9,0,0,0,0,0,0
817,192,0,228,138,10,0,0,2,0
1046,77,96,241,8,1,10,128,0,0
1046,78,96,240,8,1,10,128,0,0
950,8,0,10,0,0,0,0,0,0
1046,79,96,239,8,1,10,128,0,0
1126,0,80,0,248,96,32,32,0,0
950,8,0,11,0,0,0,0,0,0
950,8,0,0,0,48,57,101,2,0
132,0,0,0,76,15,54,12,0,0
950,8,0,1,0,48,241,82,88,0
1034,192,0,0,5,13,254,254,0,0
817,192,0,228,139,10,0,0,2,0
950,8,0,2,0,0,0,0,0,0
1126,0,80,4,248,96,32,32,0,0
950,8,0,3,0,0,0,0,0,0
132,0,0,0,76,15,55,12,0,0
817,192,0,228,140,10,0,0,2,0
1034,192,0,0,5,13,255,10,0,0
1126,0,80,8,248,96,32,32,0,0
132,0,0,0,76,15,56,12,0,0
817,192,0,228,141,10,0,0,2,0
1034,192,0,0,5,13,255,22,0,0
1126,0,80,12,248,96,32,32,0,0
132,0,0,0,76,15,57,12,0,0
817,192,0,228,142,10,0,0,2,0
1126,0,80,16,248,96,32,32,0,0
1034,192,0,0,5,13,255,34,0,0
132,0,0,0,76,15,58,12,0,0
817,192,0,228,143,10,0,0,2,0
